,Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
2838,2838,1030248,1259652,12000,12000,12000.0, 36 months,6.62,368.45,A,A2,DHL Express,9 years,MORTGAGE,105000.0,Source Verified,Nov-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1030248,  Borrower added on 11/17/11 > Consolidate credit card balances<br>,credit_card,Debt / Credit Cards,925xx,CA,17.83,0.0,Jul-88,0.0,,,14.0,0.0,37059,69.4,48.0,f,0.0,0.0,13082.8,13082.8,12000.0,1082.8,0.0,0.0,0.0,Nov-13,4990.14,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
26941,26941,561453,722562,4000,4000,4000.0, 36 months,11.12,131.19,B,B3,The Kroger Co.,6 years,RENT,42000.0,Verified,Aug-10,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=561453,,debt_consolidation,Credit Card Debt Consolidation,972xx,OR,13.4,0.0,Oct-03,1.0,33.0,,7.0,0.0,4041,64.1,12.0,f,0.0,0.0,4702.12,4702.12,4000.0,702.12,0.0,0.0,0.0,Mar-13,784.09,,Mar-13,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
28194,28194,543090,700722,24000,24000,23907.68246, 36 months,11.12,787.1,B,B3,San Diego Unified School District,7 years,RENT,78708.0,Verified,Jul-10,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=543090,  Borrower added on 07/07/10 > This loan is to payoff credit cards to have only one fixed payment a month<br/>,credit_card,Hanna_LendingClub,919xx,CA,15.99,0.0,Oct-99,0.0,,,4.0,0.0,12683,47.5,19.0,f,0.0,0.0,27149.58,27025.02,23999.94,3149.64,0.0,0.0,0.0,Jan-12,13833.14,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
33975,33975,460240,574244,19400,19400,19368.33951, 36 months,16.0,682.06,D,D5,WABC,2 years,MORTGAGE,130000.0,Not Verified,Nov-09,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=460240,  574244 added on 11/14/09 > I am trying to consolidate two high interest loans into one payment a month. Believe it or not the 16% interest rate on this loan is lower then what I currently have.<br/>,debt_consolidation,Debt Me Out Of This,070xx,NJ,12.6,1.0,Oct-96,3.0,15.0,,12.0,0.0,8907,26.7,35.0,f,0.0,0.0,21515.03,21466.03,19400.0,2115.03,0.0,0.0,0.0,Sep-10,24.19,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
36892,36892,396914,437416,11200,11200,2799.990932, 36 months,13.16,378.23,C,C3,Active The Limited Inc.,6 years,RENT,63800.0,Verified,May-09,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=396914,"I've been doing recruiting business for 6 years and I finally put my business on track. however, once the business grow, I need cash flow to pay my employees. We normally get paid from clients within 90days, and I need to pay my employees with our money during 90 days.  With your lending, it will help my business grow faster!  Thank you!!",small_business,Need cash flow for 3 month. ,926xx,CA,4.25,0.0,Jan-95,3.0,,,7.0,0.0,8897,19.1,7.0,f,0.0,0.0,1969.98,491.64,1037.91,473.97,0.0,458.1,4.56,Sep-09,378.23,,Feb-10,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
56647,56647,9000101,10791775,11675,11675,11675.0, 36 months,15.61,408.22,C,C3,,,MORTGAGE,40163.44,Verified,Dec-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9000101,,debt_consolidation,consolidate,381xx,TN,17.75,0.0,Oct-78,1.0,36.0,,11.0,0.0,9882,60.6,23.0,f,0.0,0.0,14303.35,14303.35,11675.0,2628.35,0.0,0.0,0.0,Nov-15,5322.51,,Nov-15,0.0,68.0,1,INDIVIDUAL,,,,0.0,0.0,22324.0,,,,,,,,,,,,16300.0,,,
96791,96791,6889484,8531392,28000,28000,27950.0, 36 months,9.71,899.68,B,B1,Crowe Horwath LLP,10+ years,MORTGAGE,105000.0,Verified,Sep-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6889484,,credit_card,Consolidation,601xx,IL,11.92,0.0,May-96,0.0,,,10.0,0.0,40983,50.0,48.0,f,0.0,0.0,30506.75725,30452.29,28000.0,2506.76,0.0,0.0,0.0,Oct-14,19714.4,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,305289.0,,,,,,,,,,,,82000.0,,,
99549,99549,6808403,8430415,8000,8000,8000.0, 36 months,18.25,290.23,D,D2,,3 years,OWN,80000.0,Verified,Sep-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6808403,,debt_consolidation,Debt consolidation,928xx,CA,12.54,0.0,Aug-02,2.0,,,10.0,0.0,13946,77.5,13.0,f,2170.96,2170.96,8125.49,8125.49,5829.04,2296.45,0.0,0.0,0.0,Jan-16,290.23,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,48104.0,,,,,,,,,,,,18000.0,,,
161585,161585,3485298,4367532,9000,9000,9000.0, 36 months,14.33,309.05,C,C1,JetBlue Airways,3 years,RENT,49000.0,Source Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3485298,  Borrower added on 02/19/13 > I want to consolidate my debt that way I can have one monthly payment.<br>,debt_consolidation,Consolidation loan,114xx,NY,10.82,0.0,Mar-01,0.0,,,8.0,0.0,11447,58.4,18.0,f,0.0,0.0,10986.39506,10986.4,9000.0,1986.4,0.0,0.0,0.0,Jun-15,2957.59,,Jun-15,0.0,,1,INDIVIDUAL,,,,0.0,214.0,17117.0,,,,,,,,,,,,19600.0,,,
163954,163954,3376934,4229471,10000,10000,10000.0, 36 months,15.8,350.59,C,C3,Rowan Salisbury Schools,4 years,MORTGAGE,50000.0,Verified,Feb-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3376934,  Borrower added on 02/10/13 > I plan to use this money to completely pay off my Sears Card and my Discover Card.  This will open up enough money to make the payment because I usually pay about $200 on the Sears Card.  With the remainder of the money I plan to finish my basement and make some other needed repairs to my house.<br><br> Borrower added on 02/10/13 > I plan to pay off my Discover Card and my Sears account.  That will free up enough to make my monthly payment.  I plan to use the rest to finish my basement and make some basic improvements around the house.<br>,debt_consolidation,Debt Consolidation,281xx,NC,19.87,0.0,Sep-98,0.0,36.0,,7.0,0.0,6136,80.7,20.0,f,691.69,691.69,11913.46,11913.46,9308.3,2605.16,0.0,0.0,0.0,Jan-16,350.59,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,234661.0,,,,,,,,,,,,7600.0,,,
